,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
2581,2627,2015-07-20,Innoviti,Payment Solutions platform,,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,39.77,7,2015
2582,2628,2015-07-21,ZenRadius,Online Hiring Platform,,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,0.0,7,2015
2583,2629,2015-07-21,Joy by nature,Organic Food ecommerce,,New Delhi,"Mumbai Angels, Vriddhi Fund",Private Equity,8.2,7,2015
2584,2630,2015-07-22,Iqlect,Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,16.4,7,2015
2585,2631,2015-07-22,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,246.0,7,2015
2586,2632,2015-07-23,Nestaway,Luxury Rental Homes,,Bangalore,"Flipkart, Tiger Global",Private Equity,104.55,7,2015
2587,2634,2015-07-23,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,2.624,7,2015
2588,2635,2015-07-23,iCrushiFlush,Casual Dating App,,Mumbai,IDG Ventures India,Seed Funding,0.0,7,2015
2589,2636,2015-07-23,MedGenome,Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,164.0,7,2015
2590,2637,2015-07-23,HolidayIQ,Travel information portal,,Bangalore,MakeMyTrip,Private Equity,123.0,7,2015
2591,2638,2015-07-23,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,8.2,7,2015
2592,2639,2015-07-23,Quikr,Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,492.0,7,2015
2593,2640,2015-07-23,JetSetGo,Private Jet/ Helicopter Marketplace,,New Delhi,YourWeCan Ventures,Seed Funding,0.0,7,2015
2594,2641,2015-07-24,BroEx,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,8.2,7,2015
2595,2642,2015-07-25,Shopatplaces,Ethnic/ Traditional Fashion Store,,New Delhi,Indian Angel Network,Seed Funding,0.0,7,2015
2596,2643,2015-07-25,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,123.0,7,2015
2597,2644,2015-07-27,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,49.2,7,2015
2598,2645,2015-07-27,Townrush,B2B logistics delivery platform,,Bangalore,Lightspeed Venture Partners,Seed Funding,0.0,7,2015
2599,2646,2015-07-27,Locus,Logistics Automation Platform,,Bangalore,"growX ventures, Manish Singhal",Seed Funding,0.0,7,2015
2600,2647,2015-07-27,Bevy,Online Hiring Platform,,Bangalore,Varun Agarwal,Seed Funding,0.0,7,2015
2601,2648,2015-07-28,Pepperfry,Online home dcor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,820.0,7,2015
2602,2649,2015-07-28,Flipkart,Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,5740.0,7,2015
2603,2650,2015-07-28,Opinio,Hyperlocal food & grocery store,,Bangalore,"Accel Partners, Traxcn Labs",Seed Funding,10.66,7,2015
2604,2651,2015-07-28,Zoctr,Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta",Seed Funding,8.2,7,2015
2605,2652,2015-07-29,Zimmber,Hyperlocal Handyman Services,,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity,16.4,7,2015
2606,2653,2015-07-29,trueHb,Medical Tech Instruments,,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh",Seed Funding,19.68,7,2015
2607,2654,2015-07-29,Zovi ,Hyperlocal Deals Marketplace,,Bangalore,"Paytm, SAIF Partners, Tiger Global Management",Private Equity,410.0,7,2015
2608,2655,2015-07-29,Swajal,Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,9.84,7,2015
2609,2656,2015-07-30,Pipa Bella,Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,4.92,7,2015
2610,2657,2015-07-30,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,19.68,7,2015
2611,2658,2015-07-30,Droom.in,Used Vehicle Marketplace,,New Delhi,"Lightbox Ventures, Beenos",Private Equity,131.2,7,2015
2612,2659,2015-07-30,MadRat Games,Educational Board Games,,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,1.3776,7,2015
2613,2660,2015-07-30,Noodle Play,Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,1.3776,7,2015
2614,2661,2015-07-30,Wassup,On-Demand Laundry & Dry cleaning App,,Chennai,B S Nagesh,Private Equity,0.0,7,2015
2615,2662,2015-07-30,Cartisan,On-Demand Car services App,,Bangalore,"YouWeCan Ventures, Aprameya Radhakrishna",Seed Funding,0.0,7,2015
2616,2663,2015-07-31,LazyLad,Hyperlocal Grocery App,,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,4.1,7,2015
2617,2664,2015-07-31,TripFactory,Online Curated Holiday package bookings,,Bangalore,"Aarin Capital Partners,",Private Equity,0.0,7,2015
2618,2665,2015-07-31,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,16.4,7,2015
2619,2666,2015-07-31,Bona Vita,Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,41.0,7,2015
2620,2667,2015-01-06,Vyomo,Beauty and Wellness Platform,,New Delhi,Aprameya Radhakrishna,Seed Funding,0.0,1,2015
2621,2668,2015-01-06,Veeba Foods,Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,49.2,1,2015
2622,2669,2015-01-06,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,4.1,1,2015
2623,2670,2015-01-06,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,32.8,1,2015
2624,2671,2015-01-06,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,2.87,1,2015
2625,2672,2015-01-06,CredR,Used two-wheeler Marketplace,,Mumbai,GrowthStory,Seed Funding,0.0,1,2015
2626,2673,2015-01-06,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,8.2,1,2015
2627,2674,2015-01-06,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,4.51,1,2015
2628,2675,2015-01-06,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,4.1,1,2015
2629,2676,2015-02-06,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,287.0,2,2015
2630,2677,2015-02-06,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels  angel investors,Seed Funding,2.87,2,2015
2631,2678,2015-02-06,Karma Healthcare,Tech-enabled Rural Healthcare Services,,Udaipur,Ennovent Impact Investment Holding,Private Equity,0.0,2,2015
2632,2679,2015-03-06,Entropy Innovations,Engineering Innovations,,Mumbai,Mark Mobius,Seed Funding,0.0,3,2015
2633,2680,2015-03-06,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,24.6,3,2015
2634,2681,2015-03-06,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,0.82,3,2015
2635,2682,2015-03-06,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,123.0,3,2015
2636,2683,2015-03-06,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,1.23,3,2015
2637,2684,2015-03-06,MyPoolin,P2P Payments platform,,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra, Arjun Malhotra, Gautam Gandhi",Seed Funding,0.0,3,2015
2638,2685,2015-03-06,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,2.05,3,2015
2639,2686,2015-03-06,KAARYAH,Women Lifestyle Marketplace,,Gurgaon,Ratan Tata,Seed Funding,0.0,3,2015
2640,2687,2015-04-06,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,1123.4,4,2015
2641,2688,2015-04-06,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,8.2,4,2015
2642,2689,2015-04-06,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global, Nirvana Ventures Advisors",Private Equity,164.0,4,2015
2643,2690,2015-04-06,Flipkart,eCommerce platform,,Bangalore,Morgan Stanley,Private Equity,410.0,4,2015
2644,2692,2015-05-06,Medwell Ventures,HealthcareService provider,,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,82.0,5,2015
2645,2693,2015-05-06,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,41.0,5,2015
2646,2694,2015-08-06,PosterGully,Artist / Designer Marketplace,,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  Angel investors.",Seed Funding,0.0,8,2015
2647,2695,2015-08-06,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,328.0,8,2015
2648,2696,2015-09-06,Clovia,Private Label lingerie Ecommerce,,New Delhi,IvyCap Ventures,Private Equity,41.0,9,2015
2649,2697,2015-09-06,Swiggy,Online Food Ordering,,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,135.3,9,2015
2650,2698,2015-09-06,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,1.9188,9,2015
2651,2699,2015-09-06,Printland,Online Printing Services,,New Delhi,SIDBI Venture Capital Ltd,Private Equity,0.0,9,2015
2652,2700,2015-09-06,Teritree,Digital Marketing Services,,Bangalore,KCL,Seed Funding,1.148,9,2015
2653,2701,2015-10-06,Guiddoo,Travel Guide Mobile App,,Mumbai,"Pawan Borle, SVP Fly Dubai",Seed Funding,0.0,10,2015
2654,2702,2015-10-06,Voonik,Fashion Ecommerce store,,Bangalore,"Sequoia Capital, Seedfund",Private Equity,41.0,10,2015
2655,2703,2015-11-06,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare, Viswanath Ramachandran",Seed Funding,2.87,11,2015
2656,2704,2015-11-06,Faircent,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,2.05,11,2015
2657,2705,2015-12-06,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,131.2,12,2015
2658,2706,2015-06-15,Homelane,Home Furnishing Solutions,,Bangalore,Sequoia Capital,Private Equity,410.0,6,2015
2659,2707,2015-06-15,iSTAR,Skill Training & Placement Platform,,Bangalore,Unitus Seed Fund,Private Equity,0.0,6,2015
2660,2708,2015-06-15,Shippr,Intra-City Logistics service,,Bangalore,i2india Pvt Ltd,Seed Funding,4.1,6,2015
2661,2709,2015-06-16,FoodAbhi,online tiffin service aggregator,,Mumbai,Group of angel investors,Seed Funding,0.0,6,2015
2662,2710,2015-06-16,Karma Recycling,Electronic Goods recycling service,,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,0.0,6,2015
2663,2711,2015-06-16,CouponRaja,Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee",Seed Funding,4.1,6,2015
2664,2712,2015-06-17,Babychakra,Parents & Kids Online platform,,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,0.0,6,2015
2665,2713,2015-06-17,Jiffstore,Online Grocery platform,,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,0.0,6,2015
2666,2714,2015-06-17,MyDentist,Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,67.24,6,2015
2667,2715,2015-06-18,Moovo,On-Demand Logistics Service,,New Delhi,YouWeCan Ventures,Seed Funding,0.0,6,2015
2668,2716,2015-06-18,Fracktal Works,3D Printer Manufacturer,,Bangalore,Neoteric Infomatique Limited,Private Equity,24.6,6,2015
2669,2717,2015-06-18,Hansa Customer Equity,IT / Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,41.0,6,2015
2670,2718,2015-06-18,HealthifyMe,Health & Fitness App,,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,0.0,6,2015
2671,2719,2015-06-18,CAKART.in,Online Education Marketplace,,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,0.0,6,2015
2672,2720,2015-06-19,Housejoy,Home services marketplace,,Bangalore,Matrix Partners,Private Equity,32.8,6,2015
2673,2721,2015-06-19,FundsIndia,Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,90.2,6,2015
2674,2722,2015-06-20,Cupick,Social Network for Artists,,Bangalore,Group of Angel Investors from US,Seed Funding,0.984,6,2015
2675,2723,2015-06-20,Tracxn,Startup funding platform,,Bangalore,"Sachin Bansal, Bunny Bansal  investors",Private Equity,82.0,6,2015
2676,2724,2015-06-21,Holachef,Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,25.42,6,2015
2677,2725,2015-06-22,elong,Data Driven recruitment recommendation,,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,41.0,6,2015
2678,2726,2015-06-22,Ixigo,Travel Search Engine,,Gurgaon,Micromax Informatics,Private Equity,0.0,6,2015
2679,2727,2015-06-22,SkillAngels,Brain Games Platform,,Chennai,Sprout Angels LLP,Seed Funding,0.0,6,2015
2680,2728,2015-06-22,Vidgyor,Video Advertisement Platform,,Bangalore,AngelPrime,Seed Funding,4.1,6,2015
2681,2729,2015-06-22,Banihal,Algorithmic Match Making Platform,,New Delhi / California,Dr David Cheriton,Seed Funding,0.0,6,2015
2682,2730,2015-06-23,Goodservice,Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,13.12,6,2015
2683,2731,2015-06-23,Treebo,Online Budget Hotel Booking Service,,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,49.2,6,2015
2684,2732,2015-06-23,EduKart,Online education marketplace,,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,8.2,6,2015
2685,2733,2015-06-23,Healthians,Preventive healthcare services,,Hyderabad,YouWeCan Ventures,Seed Funding,0.0,6,2015
2686,2734,2015-06-24,LabInApp,Science Learning App,,Bangalore,Unitus Seed Fund,Seed Funding,0.0,6,2015
2687,2735,2015-06-24,Syona Cosmetics,Beauty and Wellness platform,,Chennai,Chennai Angels,Seed Funding,0.0,6,2015
2688,2736,2015-06-24,Sigrid Education,Online Education Platform,,Noida,Oliphans Capital,Seed Funding,0.0,6,2015
2689,2738,2015-06-24,The Porter,Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,45.1,6,2015
2690,2739,2015-06-24,Retention.ai,App Analytics platform,,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters",Seed Funding,4.1,6,2015
2691,2740,2015-06-25,Fusion Microfinance,Micro Finance Platform,,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,70.52,6,2015
2692,2741,2015-06-25,Zinka,Freight logistics platform,,Bangalore,"Accel Partners, Flipkart",Private Equity,49.2,6,2015
2693,2742,2015-06-26,CreditMantri,Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,20.5,6,2015
2694,2743,2015-06-26,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,2.05,6,2015
2695,2744,2015-06-29,UrbanClap,Hyperlocal services marketplace,,New Delhi,"SAIF Partners, Accel Partners",Private Equity,82.0,6,2015
2696,2745,2015-06-29,StayGlad,Beauty services Mobile Marketplace,,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,0.0,6,2015
2697,2746,2015-06-29,AdWyze,Marketing / Advertising Automation platform,,Bangalore,Mape Advisory,Seed Funding,8.2,6,2015
2698,2747,2015-06-29,Zimmber,Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,3.28,6,2015
2699,2748,2015-06-30,Buttercups,Online Lingerie platform,,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,0.0,6,2015
2700,2749,2015-06-30,RailYatri,Railways Information Mobile app,,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,0.0,6,2015
2701,2750,2015-06-30,aagaar,Hyperlocal grocery delivery,,Gurgaon,Group of Investors,Seed Funding,0.0,6,2015
2702,2751,2015-06-30,Flatchat,Flat rental Mobile App,,Bangalore,Commonfloor,Private Equity,20.5,6,2015
2703,2752,2015-06-30,MyCFO,Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,12.3,6,2015
2704,2753,2015-01-05,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,820.0,1,2015
2705,2754,2015-01-05,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,0.82,1,2015
2706,2755,2015-04-05,Applicate,Workforce Management Software,,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,4.51,4,2015
2707,2756,2015-04-05,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi,Seed Funding,1.64,4,2015
2708,2757,2015-04-05,SpoonJoy,Online Food Delivery,,Bangalore,SAIF Partners,Seed Funding,8.2,4,2015
2709,2758,2015-05-05,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,5.33,5,2015
2710,2759,2015-05-05,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,2.05,5,2015
2711,2760,2015-05-05,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,49.2,5,2015
2712,2761,2015-05-05,Fintellix,Banking Analytics Platform,,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,123.0,5,2015
2713,2762,2015-05-05,Customer360,Customer Engagement Platform,,Mumbai,Vishwas Patel,Seed Funding,0.0,5,2015
2714,2763,2015-06-05,Delhivery,Ecommerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,697.0,6,2015
2715,2764,2015-06-05,Swiggy,Online Food Delivery,,Bangalore,Norwest Venture Partners,Private Equity,123.0,6,2015
2716,2765,2015-07-05,Uniphore,Speech Recognition Solutions,,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,0.0,7,2015
2717,2766,2015-07-05,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,28.7,7,2015
2718,2767,2015-07-05,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners, Helion Ventures",Private Equity,82.0,7,2015
2719,2768,2015-07-05,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,41.0,7,2015
2720,2769,2015-08-05,BuyHatke,Online Product Comparison,,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,8.2,8,2015
2721,2770,2015-08-05,KleverKid,Online Education Platform,,New Delhi,Aarin Capital Partners,Seed Funding,0.0,8,2015
2722,2771,2015-08-05,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,16.4,8,2015
2723,2772,2015-08-05,GrandOpinion,Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,1.23,8,2015
2724,2773,2015-08-05,HealthifyMe,Health & Fitness App,,Bangalore,Micromax Informatics,Private Equity,0.0,8,2015
2725,2774,2015-12-05,ZapStitch,Cloud Data Integration Platform,,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,16.4,12,2015
2726,2775,2015-12-05,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,16.4,12,2015
2727,2776,2015-12-05,Mobiefit,Mobile Fitness App,,Goa,Prototyze,Seed Funding,0.0,12,2015
2728,2777,2015-12-05,Plancess,Online Education Platform,,Mumbai,"Rajendra Gogri, Chandrakant Gogri",Seed Funding,16.4,12,2015
2729,2778,2015-12-05,WorkHorse,Service-On-Demand Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,0.0,12,2015
2730,2779,2015-05-13,Innovaccer,Intelligent Data Analytics,,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,0.0,5,2015
2731,2780,2015-05-13,MyCuteOffice,Online Office Rental,,Mumbai,Lead Angels,Seed Funding,0.0,5,2015
2732,2781,2015-05-14,IndianRoots,Lifestyle Ecommerce Portal,,Gurgaon,KJS Group,Private Equity,41.0,5,2015
2733,2782,2015-05-14,RedPolka,Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,2.05,5,2015
2734,2783,2015-05-15,Venturesity,Online Job skills Showcase,,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,2.214,5,2015
2735,2784,2015-05-18,TheBetterIndia,Online News Media,,Bangalore,Mohandas Pai,Seed Funding,0.0,5,2015
2736,2785,2015-05-18,Awaaz De,Enterprise Communication Platform,,Ahmedabad,Samir Shah,Seed Funding,0.0,5,2015
2737,2786,2015-05-19,Chaayos,Offline Tea Chain,,New Delhi,Tiger Global Management,Private Equity,8.2,5,2015
